subgenome,condition,panel_type,sample_id,analysis_group,PC1,PC2,PC3,PC4,PC5
sgC,priority_seed_20250417_6000,arabica_only,27_Rubi,arabica_cultivated,-10.82376950982975,6.271095339467354,-3.32933788827279,2.352234344488657,-2.094797908233962
sgC,priority_seed_20250417_6000,arabica_only,28_Topazio,arabica_cultivated,-10.42643674410797,5.975823447293818,-3.311356442252699,2.043724755867463,-3.32344425744102
sgC,priority_seed_20250417_6000,arabica_only,29_CostaRica95,arabica_introgressed,7.414115596174971,-37.34762333119146,-46.02071354869324,2.757628416982393,2.863451282084729
sgC,priority_seed_20250417_6000,arabica_only,30_OroAzteca,arabica_introgressed,24.3037805013799,-69.60029712153587,-63.49307465120557,-29.49940785835764,2.107957280316696
sgC,priority_seed_20250417_6000,arabica_only,31_ArabustaPizze,arabica_introgressed,217.7267472177661,62.48076508185827,-7.310447098883062,4.532142141283968,1.426772690382061
sgC,priority_seed_20250417_6000,arabica_only,32_Bourbonpointu,arabica_cultivated,-10.44385292635083,6.645183891728355,-2.939858642913748,1.640323514053056,-3.687521341160767
sgC,priority_seed_20250417_6000,arabica_only,37_Catuai99,arabica_cultivated,-10.575705624604,6.283477020848141,-1.620333541802616,2.050153640090749,-1.946129168403413
sgC,priority_seed_20250417_6000,arabica_only,38_Et38C3,arabica_wild,-11.70045954922618,8.517631615650572,3.488646835608515,-2.314640625791946,1.653394730125474
sgC,priority_seed_20250417_6000,arabica_only,39_Guatemalense,arabica_cultivated,-10.75884143493428,6.307119854862321,-2.253991237413582,1.916562032776832,-2.068678605959242
sgC,priority_seed_20250417_6000,arabica_only,LINN32,arabica_wild,-7.164010430348142,6.785534086857663,1.511268112194398,2.04338951525851,-71.9942591240102
sgC,priority_seed_20250417_6000,arabica_only,Amsterdam,arabica_cultivated,-10.02293290385675,7.417850686880241,-1.832103254292614,3.070272956373261,-5.764952448220326
sgC,priority_seed_20250417_6000,arabica_only,BB1,arabica_cultivated,-10.66462556152128,6.354126849861735,-2.64446004346292,1.645262175850905,-1.972894820366959
sgC,priority_seed_20250417_6000,arabica_only,TIP1,arabica_cultivated,-10.17823462175158,5.784628822947506,-2.322398055442874,1.084782047324917,-3.077604073243529
sgC,priority_seed_20250417_12000,full_panel,1,arabica_wild,-29.38472876165766,5.701671840633385,13.61025710112362,0.8344275916692669,4.360618311472634
sgC,priority_seed_20250417_12000,full_panel,2,arabica_wild,-29.85853455285811,7.02033338186481,13.17400470013724,-0.0948080049007325,4.152722753776284
sgC,priority_seed_20250417_12000,full_panel,3,arabica_wild,-28.95563255602334,6.414443365865124,13.30395416617944,1.27751783891709,4.363291803280711
sgC,priority_seed_20250417_12000,full_panel,4,arabica_wild,-29.26237534350838,6.634651646342927,13.33317810537145,0.5727343111991271,4.379535160776878
sgC,priority_seed_20250417_12000,full_panel,5,arabica_wild,-29.520553021995,6.714431245320124,12.06053421216598,0.7680217324326909,3.81483331446646
sgC,priority_seed_20250417_12000,full_panel,6,arabica_wild,-29.34673638216501,6.804644767694913,14.14872833329072,1.5359816196304,4.525304142009368
sgC,priority_seed_20250417_12000,full_panel,7,arabica_wild,-29.7120128891541,5.344042043439927,14.74827179085583,0.4730799112054624,2.848342686811733
sgC,priority_seed_20250417_12000,full_panel,8,arabica_wild,-30.47962592822881,6.679353773764754,11.9401688280028,0.2790854550934584,3.558632237985655
sgC,priority_seed_20250417_12000,full_panel,9,arabica_wild,-30.22699340715246,6.812115547503763,11.01277057295145,0.5308232205656395,3.016922931887451
sgC,priority_seed_20250417_12000,full_panel,10,arabica_introgressed,3.819135343471209,-41.52414327692222,-86.24546826860683,-8.024225556765108,-15.08710155599183
sgC,priority_seed_20250417_12000,full_panel,11,arabica_introgressed,22.31341528955338,-52.59689328497932,-88.78113213961497,-6.080451954550921,-9.045960318427184
sgC,priority_seed_20250417_12000,full_panel,12,arabica_cultivated,-31.06508894609276,4.71567858509144,6.328663917302962,-2.026579121702306,0.5082452665793918
sgC,priority_seed_20250417_12000,full_panel,13,arabica_cultivated,-31.38475504250658,5.356758725137865,6.317524507651894,-1.617678738419804,0.6270094151773508
sgC,priority_seed_20250417_12000,full_panel,14,arabica_cultivated,-30.36027147966509,5.473223564995597,10.15719581041997,-0.5404657062374436,3.089224634803386
sgC,priority_seed_20250417_12000,full_panel,15,arabica_wild,-29.4211048832307,6.751158343135241,13.76820489975213,0.8960536186302892,4.25808387949689
sgC,priority_seed_20250417_12000,full_panel,16,arabica_introgressed,-7.311697488614906,-28.09581771412644,-66.25972991968065,-6.297381534950033,-17.21354128566924
sgC,priority_seed_20250417_12000,full_panel,17_BMJM,arabica_cultivated,-30.55597538953658,4.997968173614421,7.669942947125505,-1.006242356927914,0.4635610290375278
sgC,priority_seed_20250417_12000,full_panel,18_E123,arabica_wild,-28.93817617424053,4.41993281089755,11.94017369183744,0.607693517079548,2.76246463451906
sgC,priority_seed_20250417_12000,full_panel,19_E237,arabica_wild,-29.51610633493405,7.250520377036437,13.38989489109202,1.090679954607948,4.152542708335434
sgC,priority_seed_20250417_12000,full_panel,20_E261,arabica_wild,-29.14853948553701,4.875391227929974,11.46073950380183,0.603241808751184,2.895824497594904
sgC,priority_seed_20250417_12000,full_panel,21_E383,arabica_wild,-30.14594919010109,6.87080336121676,12.7454347163848,0.9045682299765938,3.883751840903155
sgC,priority_seed_20250417_12000,full_panel,22_E516,arabica_wild,-30.60637694988107,5.933316095009552,9.125734765972464,-0.4737188971538948,1.862412858771654
sgC,priority_seed_20250417_12000,full_panel,23_Erecta,arabica_cultivated,-30.77686377560469,4.71772244801384,5.401103973463013,-1.010577429140305,-0.2783194955866569
sgC,priority_seed_20250417_12000,full_panel,24_ET59,arabica_wild,-30.09498862347258,5.911043801970271,11.96153555881576,0.474501741981598,3.39600488398767
sgC,priority_seed_20250417_12000,full_panel,25_JK1,arabica_cultivated,-30.33612958063079,5.588943115601479,8.621066384766639,-1.299115725738772,1.348872961172976
sgC,priority_seed_20250417_12000,full_panel,26_Moka,arabica_cultivated,-31.00096629050348,5.131823544009121,7.495731727753589,-1.404675774386615,0.07912615647526519
sgC,priority_seed_20250417_12000,full_panel,27_Rubi,arabica_cultivated,-31.3205478569853,5.504234510672929,6.220633578336753,-1.841524828612076,0.1707744132830931
sgC,priority_seed_20250417_12000,full_panel,28_Topazio,arabica_cultivated,-31.063099449728,4.555213915898761,6.21359140446807,-1.851631383414332,0.1748384452939591
sgC,priority_seed_20250417_12000,full_panel,29_CostaRica95,arabica_introgressed,-13.4022907864152,-21.07016228852784,-51.88949002602837,-4.963013130076104,-17.05366245855719
sgC,priority_seed_20250417_12000,full_panel,30_OroAzteca,arabica_introgressed,0.7772424323857212,-37.16117003334488,-85.3060211260453,-7.615501401413394,-22.92249088610187
sgC,priority_seed_20250417_12000,full_panel,31_ArabustaPizze,arabica_introgressed,61.86739792024463,-48.96198762875308,-15.0295075933863,5.561093654316164,30.7591012076239
sgC,priority_seed_20250417_12000,full_panel,32_Bourbonpointu,arabica_cultivated,-30.98719960482447,4.554951899564961,6.73834611843312,-1.33328775521685,0.1316562575299792
sgC,priority_seed_20250417_12000,full_panel,37_Catuai99,arabica_cultivated,-30.86281637889824,5.558849146675446,6.386050839948244,-1.621553104156207,0.7532169008804963
sgC,priority_seed_20250417_12000,full_panel,38_Et38C3,arabica_wild,-30.28512090368342,5.129585361120478,11.92866952510502,-0.2964809145062522,1.82485201465678
sgC,priority_seed_20250417_12000,full_panel,39_Guatemalense,arabica_cultivated,-31.13295534489751,4.921969196178334,6.444202196776746,-1.694227707571163,0.2839192194600741
sgC,priority_seed_20250417_12000,full_panel,40_BU-A,eugenioides,190.8842160624498,144.8406532641489,-30.79738231765277,22.80466285996367,3.551049969417838
sgC,priority_seed_20250417_12000,full_panel,LINN32,arabica_wild,-18.32416776716858,-1.092928165430965,10.80560906174131,0.2277306381500901,-2.680953689972696
sgC,priority_seed_20250417_12000,full_panel,Amsterdam,arabica_cultivated,-30.05829892224041,4.598703676057704,7.775246138498823,-1.272891686622882,0.7508468883800297
sgC,priority_seed_20250417_12000,full_panel,BP409,canephora,191.116712271583,-119.9633488634558,8.586022018908858,31.99168142013567,92.94357169644985
sgC,priority_seed_20250417_12000,full_panel,Q121,canephora,219.4278050312861,-30.00266254880688,53.68687031192047,-126.8459139758472,-28.31229334710972
sgC,priority_seed_20250417_12000,full_panel,BUD15,canephora,147.265292861853,-87.96247840870461,63.59099730345186,86.2152137195927,-86.59685340968952
sgC,priority_seed_20250417_12000,full_panel,DA56,eugenioides,169.1922432336067,142.7800601251748,-29.81842737246832,23.87336046234644,3.155015331666235
sgC,priority_seed_20250417_12000,full_panel,BB1,arabica_cultivated,-31.21845648704445,5.280408986867278,6.374747561999338,-1.341406622577905,0.5941347916312242
sgC,priority_seed_20250417_12000,full_panel,TIP1,arabica_cultivated,-30.59832446725296,4.58699034460301,5.661357597676472,-0.9687999953569407,-0.2491287984894476
sgC,priority_seed_20250417_12000,arabica_only,1,arabica_wild,-16.32463076398075,13.41849440686823,6.973576835031698,-4.962825965004496,15.40993805254474
sgC,priority_seed_20250417_12000,arabica_only,2,arabica_wild,-16.80345890321255,13.64828194383063,6.639332555374758,-3.929902013058407,16.57300127444584
sgC,priority_seed_20250417_12000,arabica_only,3,arabica_wild,-16.15679830077251,13.3542465986891,8.482028414671024,-6.175734156358946,18.23576014427132
sgC,priority_seed_20250417_12000,arabica_only,4,arabica_wild,-16.56272489636041,13.44871789148482,8.183296686838702,-4.827631689752786,22.08413320737739
sgC,priority_seed_20250417_12000,arabica_only,5,arabica_wild,-16.15819006992434,12.9567906148766,5.916689418813816,-4.404978776587451,16.17395527221141
sgC,priority_seed_20250417_12000,arabica_only,6,arabica_wild,-16.52002318321537,14.20532227982861,8.011912975819675,-5.659000180249159,21.72698428832894
sgC,priority_seed_20250417_12000,arabica_only,7,arabica_wild,-16.75512319237814,13.76181449918211,8.180188823004361,-4.926652233044052,14.81844657868797
sgC,priority_seed_20250417_12000,arabica_only,8,arabica_wild,-16.50797254285285,12.75173415805996,5.499033229873491,-3.864808316230437,12.04751483572193
sgC,priority_seed_20250417_12000,arabica_only,9,arabica_wild,-16.56250378978718,12.11443100908779,4.657434150678359,-2.30514273590387,11.42322868551791
sgC,priority_seed_20250417_12000,arabica_only,10,arabica_introgressed,43.37173718256196,-103.6763239207009,17.85302869202414,75.023773239247,12.14001256608972
sgC,priority_seed_20250417_12000,arabica_only,11,arabica_introgressed,91.15982377134598,-129.2394186833457,80.02696657829709,-61.14946984639882,-12.6968527119703
sgC,priority_seed_20250417_12000,arabica_only,12,arabica_cultivated,-14.98314610695772,8.634090339896106,-2.017234944922125,3.595260539577421,-10.93159980005492
sgC,priority_seed_20250417_12000,arabica_only,13,arabica_cultivated,-15.38449504501508,8.751389125880564,-1.705386803682859,3.0749675526138,-10.18767574817412
sgC,priority_seed_20250417_12000,arabica_only,14,arabica_cultivated,-15.77627042131868,11.29344844622478,3.378177353705492,-0.5569722242306255,3.885963248354463
